SF2H, DotPredictor(), temporal_edges, spearmanr@50, 0.09100033323704342, 0.0005454215571657976
SF2H, DotPredictor(), agg_simp, spearmanr@50, 0.004302362703685717, 0.8704222504894649
SF2H, DotPredictor(), agg_simp, spearmanr@50, 0.007064275686861346, 0.7888217382940417
SF2H, DotPredictor(), agg, spearmanr@50, 0.0019559712364830423, 0.9408834678363072
SF2H, DotPredictor(), agg, spearmanr@50, 0.030897214617355295, 0.24130610751104714
SF2H, DotPredictor(), time_tensor, spearmanr@50, -0.00851385280696348, 0.7468442236525547
HighSchool, DotPredictor(), agg_simp, spearmanr@50, -0.02121861473369489, 0.7761693740779624
HighSchool, DotPredictor(), agg_simp, spearmanr@50, -0.020269106855466783, 0.7859379913099764
HighSchool, DotPredictor(), agg, spearmanr@50, -0.0380251032365877, 0.61030606426728
HighSchool, DotPredictor(), agg, spearmanr@50, -0.0446756395492923, 0.5492703618110742
HighSchool, DotPredictor(), temporal_edges, spearmanr@50, -0.012181369938819443, 0.8703535201922767
HighSchool, DotPredictor(), time_tensor, spearmanr@50, 0.002853500091069152, 0.9695037722088482
SF2H, CosinePredictor(), agg_simp, spearmanr@50, -0.037556208633716864, 0.15432411337473134
SF2H, CosinePredictor(), agg_simp, spearmanr@50, -0.037556208633716864, 0.15432411337473134
SF2H, CosinePredictor(), temporal_edges, spearmanr@50, 0.006459871620951464, 0.8065148351861893
SF2H, CosinePredictor(), agg_simp, spearmanr@50, -0.07056525072269677, 0.007389150314012819
SF2H, CosinePredictor(), agg_simp, spearmanr@50, -0.047024734129726464, 0.07443984236446455
SF2H, CosinePredictor(), temporal_edges, spearmanr@50, 0.014441489571191601, 0.5839881185057423
SF2H, CosinePredictor(), agg_simp, spearmanr@50, 0.029172809368317273, 0.26859479430802485
SF2H, CosinePredictor(), temporal_edges, spearmanr@50, 0.03749602743828484, 0.15498599861612716
SF2H, CosinePredictor(), agg_simp, spearmanr@50, 0.010895838587885122, 0.679517810926207
SF2H, CosinePredictor(), agg_simp, spearmanr@50, -0.01510290401696117, 0.5668817817857337
SF2H, CosinePredictor(), agg, spearmanr@50, -0.0007995317963277052, 0.9758168260033527
SF2H, CosinePredictor(), agg, spearmanr@50, -0.02584301497058978, 0.3270932698926736
SF2H, CosinePredictor(), temporal_edges, spearmanr@50, 0.07357166211982162, 0.005218783160150963
SF2H, CosinePredictor(), time_tensor, spearmanr@50, 0.04190098149802991, 0.11198192292145198
SF2H, CosinePredictor(), DTFT, spearmanr@50, 0.007845839528279093, 0.7661041155498307
SF2H, DotPredictor(), agg_simp, spearmanr@50, 0.010585388013786659, 0.6881627136353468
SF2H, DotPredictor(), agg_simp, spearmanr@50, -0.04466285831220662, 0.0902253966261373
SF2H, DotPredictor(), agg, spearmanr@50, -0.030354864497266182, 0.24967008791206302
SF2H, DotPredictor(), agg, spearmanr@50, -0.018099159962943655, 0.4925399566721753
SF2H, DotPredictor(), temporal_edges, spearmanr@50, -0.13352107455041531, 3.673294051202871e-07
SF2H, DotPredictor(), time_tensor, spearmanr@50, 0.02015609495053447, 0.4446983457227427
SF2H, DotPredictor(), DTFT, spearmanr@50, 0.06224855111009087, 0.018156727950816957
HighSchool, DotPredictor(), agg_simp, spearmanr@50, -0.07469959621032894, 0.3162420334118537
HighSchool, DotPredictor(), agg_simp, spearmanr@50, -0.1619109990634309, 0.028985907944473234
HighSchool, DotPredictor(), agg, spearmanr@50, -0.06157170426711229, 0.4089695317723858
HighSchool, DotPredictor(), agg, spearmanr@50, 0.18531029698496412, 0.012263214679716005
HighSchool, DotPredictor(), temporal_edges, spearmanr@50, 0.011186078661850783, 0.8808645063250212
HighSchool, DotPredictor(), time_tensor, spearmanr@50, 0.13048965344953026, 0.07912466207044873
HighSchool, DotPredictor(), DTFT, spearmanr@50, -0.03875962819899057, 0.6034201116261699
HighSchool, DotPredictor(), agg_simp, spearmanr@50, -0.06215096379030805, 0.4045675626812306
HighSchool, DotPredictor(), agg_simp, spearmanr@50, 0.013845496953911046, 0.8528306735086968
HighSchool, DotPredictor(), agg, spearmanr@50, 0.0017765949293890603, 0.9810101784235041
HighSchool, DotPredictor(), agg, spearmanr@50, -0.09141252733318671, 0.21971100542852504
HighSchool, DotPredictor(), temporal_edges, spearmanr@50, 0.024477198374490285, 0.7429196403842302
HighSchool, DotPredictor(), time_tensor, spearmanr@50, -0.03777030866968373, 0.6127027414159496
HighSchool, DotPredictor(), DTFT, spearmanr@50, -0.05205472907673795, 0.4852450290533854
SF2H, DotPredictor(), agg_simp, spearmanr@50, -0.05980492933622492, 0.02323804374130476
SF2H, DotPredictor(), agg_simp, spearmanr@50, -0.03857853744463932, 0.14340555828291252
SF2H, DotPredictor(), agg, spearmanr@50, -0.02453169585826382, 0.3522447715339617
SF2H, DotPredictor(), agg, spearmanr@50, -0.10408004794240995, 7.59347727050948e-05
SF2H, DotPredictor(), temporal_edges, spearmanr@50, 0.08861274126128854, 0.000761780450248237
SF2H, DotPredictor(), time_tensor, spearmanr@50, 0.010612763927194537, 0.687398736673595
SF2H, DotPredictor(), DTFT, spearmanr@50, 0.01163442562102573, 0.6591210981725297
SF2H, CosinePredictor(), agg_simp, spearmanr@50, -0.0554567284545694, 0.03535866838013041
SF2H, CosinePredictor(), agg_simp, spearmanr@50, -0.050924310823838165, 0.05335738567465978
SF2H, CosinePredictor(), agg, spearmanr@50, -0.048716257739964824, 0.06458151546221827
SF2H, CosinePredictor(), agg, spearmanr@50, -0.0492616139057423, 0.06164255480328265
SF2H, CosinePredictor(), temporal_edges, spearmanr@50, 0.14507262493857298, 3.209345677087384e-08
SF2H, CosinePredictor(), time_tensor, spearmanr@50, -0.007537414418120379, 0.7750462891379755
SF2H, CosinePredictor(), DTFT, spearmanr@50, 0.02588164346144071, 0.32637047394041874
HighSchool, CosinePredictor(), agg_simp, spearmanr@50, -0.09182457792185172, 0.21763078422879506
HighSchool, CosinePredictor(), agg_simp, spearmanr@50, -0.07919035045201153, 0.28794284856505925
HighSchool, CosinePredictor(), agg, spearmanr@50, -0.04324441069301137, 0.5621502123106739
HighSchool, CosinePredictor(), agg, spearmanr@50, -0.07725749479213838, 0.2999084579109199
HighSchool, CosinePredictor(), temporal_edges, spearmanr@50, 0.12879168653102174, 0.0831405743556807
HighSchool, CosinePredictor(), time_tensor, spearmanr@50, 0.03673122457652844, 0.622519076757215
HighSchool, CosinePredictor(), DTFT, spearmanr@50, 0.06514280936887584, 0.3822827579321101
ia-contacts_hypertext2009, CosinePredictor(), agg_simp, spearmanr@50, 0.038118569328760406, 0.6366102632039095
ia-contacts_hypertext2009, CosinePredictor(), agg_simp, spearmanr@50, 0.0391269301891862, 0.6277113641960814
ia-contacts_hypertext2009, CosinePredictor(), agg, spearmanr@50, 0.05780215264497162, 0.4735333486154826
ia-contacts_hypertext2009, CosinePredictor(), agg, spearmanr@50, 0.06148156343348452, 0.4457913134944317
ia-contacts_hypertext2009, CosinePredictor(), temporal_edges, spearmanr@50, 0.26582794645256114, 0.0007964010178392896
ia-contacts_hypertext2009, CosinePredictor(), time_tensor, spearmanr@50, 0.0044728232523589, 0.9558066347671454
ia-contacts_hypertext2009, CosinePredictor(), DTFT, spearmanr@50, 0.04510123121177157, 0.5761150807861466
