SF2H, DotPredictor(), agg_simp, kendall@50, -0.0034263763415952435, 0.8455526471219523
SF2H, DotPredictor(), agg_simp, kendall@50, 0.0044147170102694765, 0.8018256642547597
SF2H, DotPredictor(), agg, kendall@50, -0.009333256119218591, 0.5956867405779691
SF2H, DotPredictor(), agg, kendall@50, 0.015467917535325457, 0.37919499253752664
SF2H, DotPredictor(), temporal_edges, kendall@50, 0.0611979769901938, 0.000502873074643396
SF2H, DotPredictor(), time_tensor, kendall@50, -0.018249556018840242, 0.29949267044215977
SF2H, DotPredictor(), DTFT, kendall@50, -0.027885877538414018, 0.11288339462660249
HighSchool, DotPredictor(), agg_simp, kendall@50, -0.029324266893327667, 0.5566977644174752
HighSchool, DotPredictor(), agg_simp, kendall@50, -0.027988585999635728, 0.5748097314184961
HighSchool, DotPredictor(), agg, kendall@50, -0.03187420314492138, 0.5229123900824785
HighSchool, DotPredictor(), agg, kendall@50, -0.01827454313642159, 0.7141552846840398
HighSchool, DotPredictor(), temporal_edges, kendall@50, 0.055916459231376364, 0.26239542355965306
HighSchool, DotPredictor(), time_tensor, kendall@50, 0.045473863153421175, 0.36206157260895844
HighSchool, DotPredictor(), DTFT, kendall@50, -0.011838989739542227, 0.8124304363951833
ia-contacts_hypertext2009, DotPredictor(), agg_simp, kendall@50, 0.07559966914805624, 0.16132354404379767
ia-contacts_hypertext2009, DotPredictor(), agg_simp, kendall@50, 0.05773366418527709, 0.2847855303766561
ia-contacts_hypertext2009, DotPredictor(), agg, kendall@50, 0.09280397022332505, 0.08554559098019107
ia-contacts_hypertext2009, DotPredictor(), temporal_edges, kendall@50, -0.06583953680727875, 0.22253760025301084
ia-contacts_hypertext2009, DotPredictor(), agg, kendall@50, 0.03110008271298594, 0.5644862243710179
ia-contacts_hypertext2009, DotPredictor(), time_tensor, kendall@50, 0.06368899917287014, 0.2380140568864192
ia-contacts_hypertext2009, DotPredictor(), DTFT, kendall@50, 0.0641852770885029, 0.23437681697102786
SF2H, DotPredictor(), temporal_edges, kendall@50, 0.06454906956991738, 0.0002427998436146047
SF2H, DotPredictor(), time_tensor, kendall@50, -0.025997992433016752, 0.1393983321376474
SF2H, DotPredictor(), agg, kendall@50, 0.026109952899390006, 0.1377027134589606
SF2H, DotPredictor(), temporal_edges, kendall@50, 0.10615010423905488, 1.5912497947915073e-09
SF2H, DotPredictor(), time_tensor, kendall@50, -0.01877461199907343, 0.2858037142791159
SF2H, CosinePredictor(), agg, kendall@50, -0.0011678634854451393, 0.9470631444350616
SF2H, CosinePredictor(), temporal_edges, kendall@50, -0.008128715929271871, 0.6439859800055505
SF2H, CosinePredictor(), time_tensor, kendall@50, -0.007543819010115049, 0.6680102270496946
SF2H, CosinePredictor(), agg, kendall@50, -0.015444753300903405, 0.37990921289410107
SF2H, CosinePredictor(), temporal_edges, kendall@50, 0.09810632383599721, 2.4395630454459904e-08
SF2H, CosinePredictor(), time_tensor, kendall@50, 0.0270809203922477, 0.12365744515728598
SF2H, CosinePredictor(), agg_simp, kendall@50, 0.008049571461663192, 0.6472158147426089
SF2H, CosinePredictor(), agg_simp, kendall@50, -0.01927071268627905, 0.2732640848105998
SF2H, CosinePredictor(), agg_simp, kendall@50, 0.020498417110647822, 0.243867644865013
SF2H, CosinePredictor(), agg_simp, kendall@50, 0.018990811520345915, 0.2802919478091922
SF2H, CosinePredictor(), temporal_edges, kendall@50, 0.0257103698556096, 0.1438279877061081
SF2H, CosinePredictor(), agg_simp, kendall@50, 0.007769670295730059, 0.6586914541606306
SF2H, CosinePredictor(), agg_simp, kendall@50, -0.009815844336344684, 0.5768106444380378
SF2H, CosinePredictor(), agg, kendall@50, -0.0007972357346923018, 0.9638487652811737
SF2H, CosinePredictor(), agg, kendall@50, -0.017519882634545594, 0.31923137454815786
SF2H, CosinePredictor(), temporal_edges, kendall@50, 0.04912941085630453, 0.005220548537559188
SF2H, CosinePredictor(), time_tensor, kendall@50, 0.027733379661802175, 0.1148656396777942
SF2H, DotPredictor(), agg_simp, kendall@50, -0.039464134043703185, 0.024857438185736234
SF2H, DotPredictor(), agg_simp, kendall@50, -0.026590610763647594, 0.13060338528558718
SF2H, DotPredictor(), agg, kendall@50, -0.016485213497027255, 0.34864760218418733
SF2H, DotPredictor(), agg, kendall@50, -0.06995984866033511, 6.968744047637472e-05
SF2H, DotPredictor(), temporal_edges, kendall@50, 0.05992780480271793, 0.0006567881057298163
SF2H, DotPredictor(), time_tensor, kendall@50, 0.005069106632692455, 0.7732025671938692
SF2H, DotPredictor(), DTFT, kendall@50, 0.007808277353100146, 0.657103742008367
HighSchool, DotPredictor(), agg_simp, kendall@50, -0.04037399065023375, 0.41838526362560535
HighSchool, DotPredictor(), agg_simp, kendall@50, 0.009046202416368164, 0.856120128999001
HighSchool, DotPredictor(), agg, kendall@50, 0.0023677979479084454, 0.9621479195516626
HighSchool, DotPredictor(), agg, kendall@50, -0.06223058709246555, 0.21228643204216446
HighSchool, DotPredictor(), temporal_edges, kendall@50, 0.017303138850100177, 0.728733262091559
HighSchool, DotPredictor(), time_tensor, kendall@50, -0.022645862424867953, 0.6499032581629047
ia-contacts_hypertext2009, DotPredictor(), agg_simp, kendall@50, 0.06832092638544252, 0.2055915534575119
ia-contacts_hypertext2009, DotPredictor(), agg_simp, kendall@50, 0.053928866832092644, 0.31772718529091315
ia-contacts_hypertext2009, DotPredictor(), agg, kendall@50, 0.03374689826302729, 0.5318212221719381
ia-contacts_hypertext2009, DotPredictor(), agg, kendall@50, 0.10256410256410256, 0.057406393526815674
ia-contacts_hypertext2009, DotPredictor(), temporal_edges, kendall@50, 0.06484698097601324, 0.22958866665142708
ia-contacts_hypertext2009, DotPredictor(), time_tensor, kendall@50, -0.026799007444168733, 0.6195382758661839
ia-contacts_hypertext2009, DotPredictor(), DTFT, kendall@50, -0.09842845326716294, 0.06821520232822909
SF2H, CosinePredictor(), agg_simp, kendall@50, -0.03715736236584047, 0.03464644037479995
SF2H, CosinePredictor(), agg_simp, kendall@50, -0.03417496718400123, 0.052026809756663336
SF2H, CosinePredictor(), agg, kendall@50, -0.03242606748513628, 0.06525843712919163
SF2H, CosinePredictor(), agg, kendall@50, -0.03315960157516794, 0.05940467817061424
SF2H, CosinePredictor(), temporal_edges, kendall@50, 0.09650027024940158, 4.106165997327188e-08
SF2H, CosinePredictor(), time_tensor, kendall@50, -0.006161686356265925, 0.7261108767507234
SF2H, CosinePredictor(), DTFT, kendall@50, 0.01664736313798162, 0.3439271476445942
HighSchool, CosinePredictor(), agg_simp, kendall@50, -0.06053062959140308, 0.2250417845138285
HighSchool, CosinePredictor(), agg_simp, kendall@50, -0.05324509744399248, 0.28587946371268225
HighSchool, CosinePredictor(), agg, kendall@50, -0.03199562868071156, 0.5213302224012917
HighSchool, CosinePredictor(), agg, kendall@50, -0.05093801226397912, 0.30727191827348055
HighSchool, CosinePredictor(), temporal_edges, kendall@50, 0.0874870985368223, 0.07951185812468815
HighSchool, CosinePredictor(), time_tensor, kendall@50, 0.022160160281707246, 0.6569257945541422
ia-contacts_hypertext2009, CosinePredictor(), agg_simp, kendall@50, 0.027956989247311825, 0.6044870506689692
ia-contacts_hypertext2009, CosinePredictor(), agg_simp, kendall@50, 0.02663358147229115, 0.6217017306824597
ia-contacts_hypertext2009, CosinePredictor(), agg, kendall@50, 0.03937138130686518, 0.4657368185680144
ia-contacts_hypertext2009, CosinePredictor(), agg, kendall@50, 0.04995864350703061, 0.35466268443577686
ia-contacts_hypertext2009, CosinePredictor(), temporal_edges, kendall@50, 0.17220843672456576, 0.001420252182696904
ia-contacts_hypertext2009, CosinePredictor(), time_tensor, kendall@50, 0.0001654259718775848, 0.9975546115849329
ia-contacts_hypertext2009, CosinePredictor(), DTFT, kendall@50, 0.025475599669148058, 0.6369367249988496
HighSchool, CosinePredictor(), DTFT, kendall@50, 0.04292392690182746, 0.38960450237941036
SF2H, CosinePredictor(), agg_simp, kendall@50, -0.03715736236584047, 0.03464644037479995
SF2H, CosinePredictor(), temporal_edges, kendall@50, 0.09650027024940158, 4.106165997327188e-08
SF2H, CosinePredictor(), agg_simp, kendall@50, -0.03715736236584047, 0.03464644037479995
SF2H, CosinePredictor(), agg_simp, kendall@50, -0.03417496718400123, 0.052026809756663336
SF2H, CosinePredictor(), agg, kendall@50, -0.03242606748513628, 0.06525843712919163
SF2H, CosinePredictor(), agg, kendall@50, -0.03315960157516794, 0.05940467817061424
SF2H, CosinePredictor(), agg_simp, kendall@50, 0.005246699096594858, 0.7654857909281931
SF2H, CosinePredictor(), agg_simp, kendall@50, -0.017537255810362133, 0.31875172908690197
SF2H, CosinePredictor(), agg, kendall@50, -3.4746351633078526e-05, 0.9984238629407602
SF2H, CosinePredictor(), agg, kendall@50, 0.02165083777314493, 0.21836352723344454
SF2H, CosinePredictor(), agg_simp, kendall@50, -0.0032680874063778856, 0.8526039715675418
SF2H, CosinePredictor(), temporal_edges, kendall@50, -0.011244305459037911, 0.522653713815528
SF2H, CosinePredictor(), time_tensor, kendall@50, -0.002546135433557254, 0.8849061763860432
SF2H, CosinePredictor(), DTFT, kendall@50, -0.009653694695390316, 0.5831215058826671
HighSchool, CosinePredictor(), agg_simp, kendall@50, -0.05907352316192096, 0.2364031063245241
HighSchool, CosinePredictor(), agg_simp, kendall@50, -0.047902373869224704, 0.33699529681765394
HighSchool, CosinePredictor(), agg, kendall@50, -0.045473863153421175, 0.36206157260895844
HighSchool, CosinePredictor(), agg, kendall@50, -0.009046202416368164, 0.856120128999001
HighSchool, CosinePredictor(), temporal_edges, kendall@50, -0.05093801226397912, 0.30727191827348055
HighSchool, CosinePredictor(), time_tensor, kendall@50, -0.02531722421225184, 0.6118465807622055
HighSchool, CosinePredictor(), DTFT, kendall@50, -0.006010564021613746, 0.9041098823557671
ia-contacts_hypertext2009, CosinePredictor(), agg_simp, kendall@50, -0.07808105872622002, 0.14800711305417658
ia-contacts_hypertext2009, CosinePredictor(), agg_simp, kendall@50, -0.08569065343258891, 0.11237918522862636
ia-contacts_hypertext2009, CosinePredictor(), agg, kendall@50, 0.013564929693961952, 0.8015688294858261
ia-contacts_hypertext2009, CosinePredictor(), agg, kendall@50, -0.09181141439205956, 0.08894509185918768
ia-contacts_hypertext2009, CosinePredictor(), temporal_edges, kendall@50, -0.0036393713813068656, 0.9462421073732227
ia-contacts_hypertext2009, CosinePredictor(), time_tensor, kendall@50, 0.033085194375516956, 0.5398968812329697
ia-contacts_hypertext2009, CosinePredictor(), DTFT, kendall@50, -0.04813895781637717, 0.37246272404689007
ia-contacts_hypertext2009, CosinePredictor(), agg, kendall@50, -0.09594706368899918, 0.07546794528474253
SF2H, CosinePredictor(), agg_simp, kendall@50, -0.03417496718400123, 0.052026809756663336
SF2H, CosinePredictor(), agg, kendall@50, -0.03242606748513628, 0.06525843712919163
SF2H, CosinePredictor(), agg, kendall@50, -0.03315960157516794, 0.05940467817061424
