75,12092,1
90,14004,1
52,13333,1
28,2624,1
36,2584,1
14,8640,1
90,25493,1
2,613,1
67,13467,1
67,22112,1
63,7510,1
65,939,1
75,11606,1
31,15502,1
97,12269,1
98,27675,1
85,24736,1
41,943,1
40,1116,1
28,11361,1
66,21830,1
16,8426,1
55,17582,1
44,14971,1
57,19555,1
77,772,1
90,1202,1
24,15345,1
21,14443,1
95,26517,1
89,25056,1
30,17084,1
92,19562,1
73,22856,1
86,24910,1
74,862,1
38,18908,1
85,7109,1
68,943,1
68,12971,1
21,14329,1
97,26888,1
91,25968,1
39,946,1
90,18870,1
39,683,1
30,8397,1
39,19038,1
75,22986,1
20,14160,1
68,22170,1
55,20823,1
85,24683,1
75,22879,1
28,16115,1
13,8321,1
44,6969,1
81,24205,1
61,7430,1
5,5970,1
20,14020,1
65,17386,1
3,255,1
12,6184,1
65,13114,1
52,7320,1
30,16461,1
65,1494,1
28,16071,1
38,1464,1
14,9340,1
50,13397,1
13,675,1
6,1435,1
39,51,1
8,7363,1
52,1233,1
5,6705,1
39,19056,1
4,325,1
39,19007,1
90,25787,1
5,2752,1
91,26169,1
46,19978,1
45,7361,1
97,9683,1
55,7176,1
14,3985,1
21,14399,1
28,1523,1
30,17052,1
36,407,1
99,27730,1
68,22298,1
13,8165,1
18,8425,1
41,7051,1
67,13441,1
28,2636,1
97,9092,1
14,9187,1
34,1539,1
67,22105,1
22,14666,1
91,13005,1
67,22146,1
4,233,1
20,14131,1
50,20184,1
27,892,1
4,1550,1
30,17242,1
41,892,1
97,13322,1
55,20835,1
24,10752,1
5,7059,1
70,1434,1
54,1030,1
75,22925,1
11,7972,1
80,24074,1
42,1588,1
65,7431,1
4,1630,1
30,16556,1
80,18958,1
14,8972,1
14,12710,1
15,7045,1
50,1326,1
67,13325,1
99,27752,1
14,11641,1
28,9078,1
36,18641,1
14,8849,1
56,20869,1
42,19688,1
86,24872,1
87,24928,1
91,26002,1
5,4639,1
84,24412,1
8,7378,1
13,8333,1
73,22854,1
20,13847,1
90,13430,1
67,1347,1
13,1419,1
14,9610,1
20,14216,1
99,27770,1
61,7232,1
24,7352,1
47,938,1
66,21857,1
87,24923,1
20,14141,1
94,26471,1
90,307,1
13,8145,1
87,24933,1
31,14572,1
50,12952,1
70,22535,1
73,22825,1
0,715,1
76,23200,1
95,26540,1
14,5955,1
90,25837,1
33,669,1
50,20476,1
2,1132,1
97,6622,1
92,7050,1
38,18890,1
66,862,1
84,14660,1
91,26356,1
41,1067,1
14,10705,1
65,150,1
16,443,1
64,21105,1
67,22154,1
32,17617,1
28,16135,1
22,14578,1
44,7396,1
49,7390,1
97,26755,1
10,7526,1
30,16733,1
13,8109,1
34,18187,1
32,17547,1
34,17769,1
27,15521,1
14,12222,1
95,325,1
0,866,1
72,22729,1
27,7148,1
14,8965,1
16,693,1
97,3174,1
76,23176,1
5,5969,1
14,9159,1
23,12092,1
9,6970,1
66,21917,1
52,20673,1
20,14205,1
24,15028,1
39,1212,1
59,12960,1
28,15933,1
97,5921,1
80,1211,1
5,5071,1
79,24054,1
