SF2H, DotPredictor(), agg_simp, kendall@25, 0.02432092692791168, 0.2867965148212075
SF2H, DotPredictor(), agg_simp, kendall@25, 0.039634912827239445, 0.0825855801087678
SF2H, DotPredictor(), agg, kendall@25, 0.018145051101273436, 0.4267922574204944
SF2H, DotPredictor(), agg, kendall@25, 0.043438815106301584, 0.057109049344588624
SF2H, DotPredictor(), temporal_edges, kendall@25, 0.09315734819915834, 4.503933491264495e-05
SF2H, DotPredictor(), time_tensor, kendall@25, 0.0032464338416133796, 0.8869354768518071
SF2H, DotPredictor(), DTFT, kendall@25, -0.03463409302071378, 0.12930259106119438
HighSchool, DotPredictor(), agg_simp, kendall@25, -0.04454764361885106, 0.41382494729269725
HighSchool, DotPredictor(), agg_simp, kendall@25, -0.04970760233918129, 0.36185544029008576
HighSchool, DotPredictor(), agg, kendall@25, -0.01668386652906777, 0.7595677061248112
HighSchool, DotPredictor(), agg, kendall@25, 0.015651874785001723, 0.7740222149011017
HighSchool, DotPredictor(), temporal_edges, kendall@25, 0.021671826625387, 0.6909637239876681
HighSchool, DotPredictor(), time_tensor, kendall@25, -0.05383556931544549, 0.32336886303313395
HighSchool, DotPredictor(), DTFT, kendall@25, -0.05951152390780874, 0.27497456464510495
ia-contacts_hypertext2009, DotPredictor(), agg_simp, kendall@25, 0.05723905723905724, 0.5371945525611457
ia-contacts_hypertext2009, DotPredictor(), agg_simp, kendall@25, 0.10437710437710439, 0.2604921286889309
ia-contacts_hypertext2009, DotPredictor(), agg, kendall@25, 0.08956228956228958, 0.3342850084508868
ia-contacts_hypertext2009, DotPredictor(), agg, kendall@25, 0.06936026936026937, 0.45462144596656706
ia-contacts_hypertext2009, DotPredictor(), temporal_edges, kendall@25, -0.02895622895622896, 0.7549187595816471
ia-contacts_hypertext2009, DotPredictor(), time_tensor, kendall@25, -0.06531986531986533, 0.48132355606121224
ia-contacts_hypertext2009, DotPredictor(), DTFT, kendall@25, 0.10572390572390573, 0.254391389360892
SF2H, DotPredictor(), temporal_edges, kendall@25, 0.06592337541673499, 0.003886573757022919
SF2H, DotPredictor(), time_tensor, kendall@25, -0.012023829043012517, 0.5984688763145326
SF2H, DotPredictor(), agg, kendall@25, 0.02082855112860032, 0.3616523427930045
SF2H, DotPredictor(), temporal_edges, kendall@25, 0.03442640870087993, 0.13161547262982617
SF2H, DotPredictor(), time_tensor, kendall@25, -0.0093348636388479, 0.6826600901912862
SF2H, CosinePredictor(), agg, kendall@25, -0.001601355413455758, 0.9440869830907961
SF2H, CosinePredictor(), temporal_edges, kendall@25, 0.03091763677105537, 0.17570785628705954
SF2H, CosinePredictor(), time_tensor, kendall@25, -0.008165272995573045, 0.7206338971103486
SF2H, CosinePredictor(), agg, kendall@25, -0.005525495982948025, 0.8087814798942375
SF2H, CosinePredictor(), temporal_edges, kendall@25, 0.1320872274143302, 7.252089246440298e-09
SF2H, CosinePredictor(), time_tensor, kendall@25, 0.020336667213204353, 0.3731018242302765
SF2H, CosinePredictor(), agg_simp, kendall@25, 0.01287642782969886, 0.5727918317035896
SF2H, CosinePredictor(), agg_simp, kendall@25, 0.005153850357982184, 0.8214180649277498
SF2H, CosinePredictor(), agg_simp, kendall@25, 0.05827731322074657, 0.010699835467908262
SF2H, CosinePredictor(), agg_simp, kendall@25, 0.06234901896485763, 0.006320397193660601
SF2H, CosinePredictor(), temporal_edges, kendall@25, 0.002060447067825327, 0.9280959331336733
SF2H, CosinePredictor(), agg_simp, kendall@25, 0.04916653003224573, 0.03129274615667849
SF2H, CosinePredictor(), agg_simp, kendall@25, -0.006274252609717441, 0.7834765483039524
SF2H, CosinePredictor(), agg, kendall@25, 0.02254467945564847, 0.3234555075814488
SF2H, CosinePredictor(), agg, kendall@25, -0.00819259987976171, 0.719738309529231
SF2H, CosinePredictor(), temporal_edges, kendall@25, 0.05658851177788709, 0.013197748828008693
SF2H, CosinePredictor(), time_tensor, kendall@25, 0.04084276110837843, 0.0736507755558697
SF2H, DotPredictor(), agg_simp, kendall@25, -0.009400448160900694, 0.6805532508098665
SF2H, DotPredictor(), agg_simp, kendall@25, -0.05327649341422092, 0.019630686518390547
SF2H, DotPredictor(), agg, kendall@25, -0.013095042903208178, 0.566293191151928
SF2H, DotPredictor(), agg, kendall@25, -0.03767284254249331, 0.0989542075275677
SF2H, DotPredictor(), temporal_edges, kendall@25, 0.08373503853090672, 0.00024511029368713086
SF2H, DotPredictor(), time_tensor, kendall@25, -0.02691698092583484, 0.23844834539738535
SF2H, DotPredictor(), DTFT, kendall@25, -0.01804120894135651, 0.42944320999961483
HighSchool, DotPredictor(), agg_simp, kendall@25, -0.028723770209838326, 0.5982572902167034
HighSchool, DotPredictor(), agg_simp, kendall@25, 0.015651874785001723, 0.7740222149011017
HighSchool, DotPredictor(), agg, kendall@25, -0.0025799793601651187, 0.9622525374367665
HighSchool, DotPredictor(), agg, kendall@25, -0.058479532163742694, 0.28338447712148684
HighSchool, DotPredictor(), temporal_edges, kendall@25, 0.025971792225662198, 0.6337708860174386
HighSchool, DotPredictor(), time_tensor, kendall@25, -0.0801513587891297, 0.14148189236368253
ia-contacts_hypertext2009, DotPredictor(), agg_simp, kendall@25, 0.022222222222222223, 0.8106676379985684
ia-contacts_hypertext2009, DotPredictor(), agg_simp, kendall@25, 0.04242424242424243, 0.6474187596888176
ia-contacts_hypertext2009, DotPredictor(), agg, kendall@25, -0.016835016835016838, 0.8559841572419721
ia-contacts_hypertext2009, DotPredictor(), agg, kendall@25, -0.0006734006734006735, 0.9942077759224968
ia-contacts_hypertext2009, DotPredictor(), temporal_edges, kendall@25, 0.04781144781144782, 0.6062544273206946
ia-contacts_hypertext2009, DotPredictor(), time_tensor, kendall@25, -0.10976430976430979, 0.23668827842558382
ia-contacts_hypertext2009, DotPredictor(), DTFT, kendall@25, -0.11515151515151517, 0.21446490364842552
SF2H, CosinePredictor(), agg_simp, kendall@25, -0.012318959392250096, 0.5895216528411817
SF2H, CosinePredictor(), agg_simp, kendall@25, -0.023287970705580155, 0.3077590662776717
SF2H, CosinePredictor(), agg, kendall@25, -0.015046182434278844, 0.5099133488786316
SF2H, CosinePredictor(), agg, kendall@25, -0.035579603213641585, 0.11916973363663269
SF2H, CosinePredictor(), temporal_edges, kendall@25, 0.1064819369295513, 3.1079488062152384e-06
SF2H, CosinePredictor(), time_tensor, kendall@25, -0.005438049953544298, 0.8117504415025545
SF2H, CosinePredictor(), DTFT, kendall@25, -0.004159151773514784, 0.855459532998789
HighSchool, CosinePredictor(), agg_simp, kendall@25, -0.03594771241830066, 0.5096234557223503
HighSchool, CosinePredictor(), agg_simp, kendall@25, -0.040763673890608886, 0.45460009204419494
HighSchool, CosinePredictor(), agg, kendall@25, -0.028207774337805303, 0.6048470521577007
