SF2H, DotPredictor(), temporal_edges, spearmanr@10, 0.14268613589877785, 0.002857480059399774
SF2H, DotPredictor(), agg_simp, spearmanr@10, -0.011599753330116322, 0.8093659904641555
SF2H, DotPredictor(), agg_simp, spearmanr@10, 0.019132077727254837, 0.6906896126491772
SF2H, DotPredictor(), agg, spearmanr@10, 0.04900901977878435, 0.30780627787287007
SF2H, DotPredictor(), agg, spearmanr@10, -0.042333916963219656, 0.37842705361646833
SF2H, DotPredictor(), time_tensor, spearmanr@10, 0.04167175702724885, 0.3859369446216784
HighSchool, DotPredictor(), agg_simp, spearmanr@10, 0.03138815207780725, 0.7369068175450154
HighSchool, DotPredictor(), agg_simp, spearmanr@10, 0.014528915464041121, 0.8764467534570002
HighSchool, DotPredictor(), agg, spearmanr@10, -0.03117085525034093, 0.7386622277415853
HighSchool, DotPredictor(), agg, spearmanr@10, -0.0394581066702633, 0.672742715162711
HighSchool, DotPredictor(), temporal_edges, spearmanr@10, 0.18186245860120784, 0.04971359652184266
HighSchool, DotPredictor(), time_tensor, spearmanr@10, -0.11865905378471128, 0.20258529707896356
SF2H, CosinePredictor(), agg_simp, spearmanr@10, 0.0037283307359130646, 0.9381963370846684
SF2H, CosinePredictor(), agg_simp, spearmanr@10, 0.0037283307359130646, 0.9381963370846684
SF2H, CosinePredictor(), temporal_edges, spearmanr@10, 0.01937393667348459, 0.6869845406485434
SF2H, CosinePredictor(), agg_simp, spearmanr@10, -0.08635384882285108, 0.07198195741044841
SF2H, CosinePredictor(), agg_simp, spearmanr@10, -0.05255672168143721, 0.2740605405951274
SF2H, CosinePredictor(), temporal_edges, spearmanr@10, 0.09569377362644091, 0.04607684123318984
SF2H, CosinePredictor(), agg_simp, spearmanr@10, 0.04471226949413721, 0.35220005950380373
SF2H, CosinePredictor(), temporal_edges, spearmanr@10, 0.08101924812336993, 0.09146812726804755
SF2H, CosinePredictor(), agg_simp, spearmanr@10, 0.06299660172873019, 0.1897157009605043
SF2H, CosinePredictor(), agg_simp, spearmanr@10, 0.10363867235620765, 0.03068306409903707
SF2H, CosinePredictor(), agg, spearmanr@10, 0.0009311350750870706, 0.9845503408811853
SF2H, CosinePredictor(), agg, spearmanr@10, 0.007930320131440642, 0.8690017421715868
SF2H, CosinePredictor(), temporal_edges, spearmanr@10, 0.12486525730497115, 0.009134252515116069
SF2H, CosinePredictor(), time_tensor, spearmanr@10, 0.05251181959859288, 0.2744712617490171
SF2H, CosinePredictor(), DTFT, spearmanr@10, 0.031508724562168244, 0.5121855344610629
SF2H, DotPredictor(), agg_simp, spearmanr@10, -0.016709843615375752, 0.7281910139598455
SF2H, DotPredictor(), agg_simp, spearmanr@10, -0.06409786904628267, 0.1820751253285604
SF2H, DotPredictor(), agg, spearmanr@10, -0.09327226844447814, 0.05189671205126301
SF2H, DotPredictor(), agg, spearmanr@10, -0.001492556896624617, 0.9752374899703368
SF2H, DotPredictor(), temporal_edges, spearmanr@10, -0.05554635484016754, 0.2476523922673429
SF2H, DotPredictor(), time_tensor, spearmanr@10, 0.09657854875885104, 0.04409173121326336
SF2H, DotPredictor(), DTFT, spearmanr@10, 0.05677197760144153, 0.23735665673064382
HighSchool, DotPredictor(), agg_simp, spearmanr@10, 0.012168622338113862, 0.8963960187728833
HighSchool, DotPredictor(), agg_simp, spearmanr@10, -0.16205098233152, 0.08088275434819975
HighSchool, DotPredictor(), agg, spearmanr@10, -0.00751547303271441, 0.9359027490481766
HighSchool, DotPredictor(), agg, spearmanr@10, -0.028570786314795663, 0.759768590649608
HighSchool, DotPredictor(), temporal_edges, spearmanr@10, 0.03334382352500412, 0.7211700401693348
HighSchool, DotPredictor(), time_tensor, spearmanr@10, 0.0485845734238487, 0.6029328813048962
HighSchool, DotPredictor(), DTFT, spearmanr@10, 0.015900133375294098, 0.8648918337278442
HighSchool, DotPredictor(), agg_simp, spearmanr@10, -0.039922672301398184, 0.6691143891338003
HighSchool, DotPredictor(), agg_simp, spearmanr@10, 0.0399001933192465, 0.6692897787175812
HighSchool, DotPredictor(), agg, spearmanr@10, 0.012730596891906067, 0.8916398479978707
HighSchool, DotPredictor(), agg, spearmanr@10, -0.006728708657405325, 0.942600725559301
HighSchool, DotPredictor(), temporal_edges, spearmanr@10, 0.09439673904898918, 0.3113674953953902
HighSchool, DotPredictor(), time_tensor, spearmanr@10, -0.19789746586941206, 0.032451389295931034
HighSchool, DotPredictor(), DTFT, spearmanr@10, -0.14184237737715233, 0.12713166144622576
SF2H, DotPredictor(), agg_simp, spearmanr@10, -0.0718573280053416, 0.13456874243978767
SF2H, DotPredictor(), agg_simp, spearmanr@10, -0.038439098634422686, 0.4238847881709412
SF2H, DotPredictor(), agg, spearmanr@10, -0.09369869244551612, 0.05082951009301033
SF2H, DotPredictor(), agg, spearmanr@10, -0.09284205400787535, 0.052992265213309346
SF2H, DotPredictor(), temporal_edges, spearmanr@10, 0.04725477704220649, 0.32546471250639974
SF2H, DotPredictor(), time_tensor, spearmanr@10, 0.0012069621554166054, 0.9799745874876107
SF2H, DotPredictor(), DTFT, spearmanr@10, 0.12413749367653298, 0.009551005952262754
SF2H, CosinePredictor(), agg_simp, spearmanr@10, -0.011977193240778672, 0.8032878176224507
SF2H, CosinePredictor(), agg_simp, spearmanr@10, -0.004357543039666908, 0.9277924022725453
SF2H, CosinePredictor(), agg, spearmanr@10, -0.0392900514187163, 0.4136902942008214
SF2H, CosinePredictor(), agg, spearmanr@10, -0.03773757648297147, 0.4323981468912824
SF2H, CosinePredictor(), temporal_edges, spearmanr@10, 0.0819194765700057, 0.08791145963777408
SF2H, CosinePredictor(), time_tensor, spearmanr@10, -0.01842078791492513, 0.70162854537862
SF2H, CosinePredictor(), DTFT, spearmanr@10, -0.07114064411163123, 0.13850963305186453
HighSchool, CosinePredictor(), agg_simp, spearmanr@10, -0.056564612087698, 0.5446767852205525
HighSchool, CosinePredictor(), agg_simp, spearmanr@10, -0.05317777877684365, 0.5690623328913533
HighSchool, CosinePredictor(), agg, spearmanr@10, -0.024996628152677246, 0.7890698156341897
HighSchool, CosinePredictor(), agg, spearmanr@10, -0.06207196271486159, 0.5061504309743305
HighSchool, CosinePredictor(), temporal_edges, spearmanr@10, 0.10365807969548471, 0.26605457229877283
