SF2H, DotPredictor(), temporal_edges, spearmanr@25, 0.09602077200329147, 0.004927744238089584
SF2H, DotPredictor(), agg_simp, spearmanr@25, 0.015956476978550915, 0.6410768129892775
SF2H, DotPredictor(), agg_simp, spearmanr@25, 0.027424508446111738, 0.42292894244905144
SF2H, DotPredictor(), agg, spearmanr@25, 0.050029625913768604, 0.14359940595288326
SF2H, DotPredictor(), agg, spearmanr@25, 0.02577785481599505, 0.4513188648130272
SF2H, DotPredictor(), time_tensor, spearmanr@25, 0.015835275710404925, 0.6436136639840118
HighSchool, DotPredictor(), agg_simp, spearmanr@25, -0.09006473402758232, 0.26822693475412074
HighSchool, DotPredictor(), agg_simp, spearmanr@25, -0.016793320198892955, 0.8367651818541952
HighSchool, DotPredictor(), agg, spearmanr@25, -0.01739978287965904, 0.8309568132780396
HighSchool, DotPredictor(), agg, spearmanr@25, -0.02581654671437953, 0.751420355978831
HighSchool, DotPredictor(), temporal_edges, spearmanr@25, 0.12435835578250437, 0.12562987091536143
HighSchool, DotPredictor(), time_tensor, spearmanr@25, -0.1370706177207725, 0.0911140923894717
SF2H, CosinePredictor(), agg_simp, spearmanr@25, -0.08745309549186767, 0.0104725193253006
SF2H, CosinePredictor(), agg_simp, spearmanr@25, -0.08745309549186767, 0.0104725193253006
SF2H, CosinePredictor(), temporal_edges, spearmanr@25, 0.054899334072211474, 0.10847630506430495
SF2H, CosinePredictor(), agg_simp, spearmanr@25, -0.10718672820285592, 0.0016866989234948276
SF2H, CosinePredictor(), agg_simp, spearmanr@25, -0.061733344582953806, 0.07103639773980318
SF2H, CosinePredictor(), temporal_edges, spearmanr@25, 0.08102271294546248, 0.017742178551607996
SF2H, CosinePredictor(), agg_simp, spearmanr@25, 0.09457739595392477, 0.0056183414740040225
SF2H, CosinePredictor(), temporal_edges, spearmanr@25, 0.003993883114530129, 0.9071131154658751
SF2H, CosinePredictor(), agg_simp, spearmanr@25, 0.07142357250829995, 0.03668173498781627
SF2H, CosinePredictor(), agg_simp, spearmanr@25, -0.009460969078275358, 0.7822364068799325
SF2H, CosinePredictor(), agg, spearmanr@25, 0.03254605122059338, 0.3415658535091195
SF2H, CosinePredictor(), agg, spearmanr@25, -0.010937634820866056, 0.7493098238727036
SF2H, CosinePredictor(), temporal_edges, spearmanr@25, 0.08666717175166731, 0.01118925781228933
SF2H, CosinePredictor(), time_tensor, spearmanr@25, 0.06239567555405816, 0.06805376824678629
SF2H, CosinePredictor(), DTFT, spearmanr@25, 0.050579728528291366, 0.13924208060557575
SF2H, DotPredictor(), agg_simp, spearmanr@25, -0.03360443388102532, 0.3260891843720408
SF2H, DotPredictor(), agg_simp, spearmanr@25, -0.10197723558943707, 0.002817047376360868
SF2H, DotPredictor(), agg, spearmanr@25, -0.08633574798401254, 0.01150431975014812
SF2H, DotPredictor(), agg, spearmanr@25, -0.03639875925104313, 0.28745001829783695
SF2H, DotPredictor(), temporal_edges, spearmanr@25, -0.1646414671341764, 1.2786653459356005e-06
SF2H, DotPredictor(), time_tensor, spearmanr@25, 0.06701268815612026, 0.05000037840201363
SF2H, DotPredictor(), DTFT, spearmanr@25, 0.0056842151179976146, 0.8681064885283759
HighSchool, DotPredictor(), agg_simp, spearmanr@25, 0.024978891077962286, 0.7592347663467789
HighSchool, DotPredictor(), agg_simp, spearmanr@25, -0.127166177475775, 0.11724902263543605
HighSchool, DotPredictor(), agg, spearmanr@25, 0.022703818369453038, 0.7805797530498426
HighSchool, DotPredictor(), agg, spearmanr@25, 0.07659523139399299, 0.3466821447806723
HighSchool, DotPredictor(), temporal_edges, spearmanr@25, 0.02972337260262957, 0.7153179413541693
HighSchool, DotPredictor(), time_tensor, spearmanr@25, 0.04900620535295458, 0.5474645434873375
HighSchool, DotPredictor(), DTFT, spearmanr@25, -0.007193786605551311, 0.9296750859480116
HighSchool, DotPredictor(), agg_simp, spearmanr@25, -0.040562636537868735, 0.6186091850957938
HighSchool, DotPredictor(), agg_simp, spearmanr@25, 0.022888102609464837, 0.7788444320640604
HighSchool, DotPredictor(), agg, spearmanr@25, -0.006567220189511211, 0.9357865295676168
HighSchool, DotPredictor(), agg, spearmanr@25, -0.08580609277203705, 0.29160596076615825
HighSchool, DotPredictor(), temporal_edges, spearmanr@25, 0.03969482529854046, 0.6261425601342
HighSchool, DotPredictor(), time_tensor, spearmanr@25, -0.12243844906383604, 0.13162141743405842
HighSchool, DotPredictor(), DTFT, spearmanr@25, -0.038183694530443756, 0.6393528043104149
SF2H, DotPredictor(), agg_simp, spearmanr@25, -0.013526042393085082, 0.6927117607874338
SF2H, DotPredictor(), agg_simp, spearmanr@25, -0.08081180169368012, 0.018041607147378895
SF2H, DotPredictor(), agg, spearmanr@25, -0.0191640154487135, 0.5755320570144551
SF2H, DotPredictor(), agg, spearmanr@25, -0.05602207680620979, 0.10143086603090182
SF2H, DotPredictor(), temporal_edges, spearmanr@25, 0.12475090604404993, 0.0002533342591711626
SF2H, DotPredictor(), time_tensor, spearmanr@25, -0.03786945580726263, 0.2684051756501449
SF2H, DotPredictor(), DTFT, spearmanr@25, -0.025821494925330642, 0.4505528448462891
SF2H, CosinePredictor(), agg_simp, spearmanr@25, -0.017450591112072814, 0.6101544233868889
SF2H, CosinePredictor(), agg_simp, spearmanr@25, -0.03473517379420044, 0.3100653755793552
SF2H, CosinePredictor(), agg, spearmanr@25, -0.024400732908947145, 0.4758662701956091
SF2H, CosinePredictor(), agg, spearmanr@25, -0.05333305400602238, 0.11894424927700017
